Time,Channel A
(s),(V)

159.16699516,0.00335704
159.20032856,0.00198370
159.23366196,0.00045778
159.26699536,0.00488296
159.30032877,0.00381481
159.33366217,0.00091556
159.36699557,0.00656148
159.40032897,0.00488296
159.43366237,0.00183111
159.46699578,0.00656148
159.50032918,0.00625629
159.53366258,0.00320444
159.56699598,0.00778222
159.60032938,0.00778222
159.63366279,0.00457778
159.66699619,0.00946074
159.70032959,0.00869778
159.73366299,0.00640889
159.76699639,0.01068148
159.80032980,0.00946074
159.83366320,0.00549333
159.86699660,0.01144444
159.90033000,0.01068148
159.93366341,0.00808741
159.96699681,0.01312296
160.00033021,0.01052889
160.03366361,0.00915555
160.06699701,0.01403851
160.10033042,0.01174963
160.13366382,0.01068148
160.16699722,0.01464888
160.20033062,0.01388592
160.23366402,0.01052889
160.26699743,0.01480148
160.30033083,0.01312296
160.33366423,0.01144444
160.36699763,0.01648000
160.40033104,0.01571703
160.43366444,0.01251259
160.46699784,0.01876888
160.50033124,0.01525925
160.53366464,0.01419111
160.56699805,0.02029481
160.60033145,0.01663259
160.63366485,0.01495407
160.66699825,0.01876888
160.70033165,0.01876888
160.73366506,0.01495407
160.76699846,0.02136296
160.80033186,0.01846370
160.83366526,0.01754814
160.86699867,0.02182074
160.90033207,0.01846370
160.93366547,0.01739555
160.96699887,0.02212592
161.00033227,0.01998962
161.03366568,0.01815851
161.06699908,0.02243111
161.10033248,0.02105777
161.13366588,0.01907407
161.16699928,0.02380444
161.20033269,0.02182074
161.23366609,0.01892148
161.26699949,0.02395703
161.30033289,0.02121036
161.33366629,0.02075259
161.36699970,0.02441481
161.40033310,0.02273629
161.43366650,0.02059999
161.46699990,0.02380444
161.50033331,0.02182074
161.53366671,0.02212592
161.56700011,0.02548296
161.60033351,0.02273629
161.63366691,0.01983703
161.66700032,0.02136296
161.70033372,0.01937925
161.73366712,0.01953185
161.76700052,0.02456740
161.80033392,0.01998962
161.83366733,0.01892148
161.86700073,0.02319407
161.90033413,0.02014222
161.93366753,0.01998962
161.96700094,0.02319407
162.00033434,0.02014222
162.03366774,0.01785333
162.06700114,0.02365185
162.10033454,0.01953185
162.13366795,0.01907407
162.16700135,0.02304148
162.20033475,0.01968444
162.23366815,0.01876888
162.26700155,0.02349925
162.30033496,0.01953185
162.33366836,0.01815851
162.36700176,0.02258370
162.40033516,0.01968444
162.43366857,0.01785333
162.46700197,0.02243111
162.50033537,0.01815851
162.53366877,0.01724296
162.56700217,0.02227851
162.60033558,0.01709037
162.63366898,0.01861629
162.66700238,0.02212592
162.70033578,0.01770074
162.73366918,0.01709037
162.76700259,0.02014222
162.80033599,0.01632740
162.83366939,0.01632740
162.86700279,0.01998962
162.90033619,0.01663259
162.93366960,0.01617481
162.96700300,0.01937925
163.00033640,0.01602222
163.03366980,0.01571703
163.06700321,0.01876888
163.10033661,0.01495407
163.13367001,0.01602222
163.16700341,0.01907407
163.20033681,0.01403851
163.23367022,0.01449629
163.26700362,0.01907407
163.30033702,0.01297037
163.33367042,0.01449629
163.36700382,0.01617481
163.40033723,0.01297037
163.43367063,0.01464888
163.46700403,0.01632740
163.50033743,0.01129185
163.53367084,0.01190222
163.56700424,0.01602222
163.60033764,0.01144444
163.63367104,0.01052889
163.66700444,0.01403851
163.70033785,0.01052889
163.73367125,0.00991852
163.76700465,0.01342814
163.80033805,0.00762963
163.83367145,0.00869778
163.86700486,0.01220740
163.90033826,0.00808741
163.93367166,0.00869778
163.96700506,0.01144444
164.00033846,0.00778222
164.03367187,0.00732444
164.06700527,0.01129185
164.10033867,0.00564592
164.13367207,0.00671407
164.16700548,0.01022370
164.20033888,0.00549333
164.23367228,0.00640889
164.26700568,0.00946074
164.30033908,0.00366222
164.33367249,0.00503555
164.36700589,0.00885037
164.40033929,0.00259407
164.43367269,0.00366222
164.46700609,0.00640889
164.50033950,0.00152593
164.53367290,0.00274667
164.56700630,0.00656148
164.60033970,0.00076296
164.63367311,0.00335704
164.66700651,0.00534074
164.70033991,0.00045778
164.73367331,0.00076296
164.76700671,0.00442518
164.80034012,-0.00030519
164.83367352,0.00045778
164.86700692,0.00320444
164.90034032,-0.00137333
164.93367372,0.00076296
164.96700713,0.00213630
165.00034053,-0.00274667
165.03367393,-0.00106815
165.06700733,0.00122074
165.10034074,-0.00335704
165.13367414,-0.00305185
165.16700754,0.00137333
165.20034094,-0.00396741
165.23367434,-0.00213630
165.26700775,0.00015259
165.30034115,-0.00518815
165.33367455,-0.00213630
165.36700795,-0.00137333
165.40034135,-0.00518815
165.43367476,-0.00350963
165.46700816,-0.00152593
165.50034156,-0.00625629
165.53367496,-0.00396741
165.56700836,-0.00183111
165.60034177,-0.00640889
165.63367517,-0.00427259
165.66700857,-0.00259407
165.70034197,-0.00808741
165.73367538,-0.00457778
165.76700878,-0.00320444
165.80034218,-0.00808741
165.83367558,-0.00457778
165.86700898,-0.00213630
165.90034239,-0.00778222
165.93367579,-0.00473037
165.96700919,-0.00289926
166.00034259,-0.00778222
166.03367599,-0.00473037
166.06700940,-0.00305185
166.10034280,-0.00824000
166.13367620,-0.00564592
166.16700960,-0.00335704
166.20034301,-0.00808741
166.23367641,-0.00534074
166.26700981,-0.00274667
166.30034321,-0.00747704
166.33367661,-0.00228889
166.36701002,-0.00183111
166.40034342,-0.00656148
166.43367682,-0.00305185
166.46701022,-0.00137333
166.50034362,-0.00656148
166.53367703,-0.00396741
166.56701043,-0.00061037
166.60034383,-0.00579852
166.63367723,-0.00228889
166.66701064,-0.00030519
166.70034404,-0.00518815
166.73367744,-0.00152593
166.76701084,0.00000000
166.80034424,-0.00350963
166.83367765,-0.00061037
166.86701105,0.00122074
166.90034445,-0.00228889
166.93367785,0.00152593
166.96701125,0.00289926
167.00034466,0.00015259
167.03367806,0.00335704
167.06701146,0.00549333
167.10034486,0.00122074
167.13367826,0.00610370
167.16701167,0.00732444
167.20034507,0.00274667
167.23367847,0.00701926
167.26701187,0.00808741
167.30034528,0.00610370
167.33367868,0.01007111
167.36701208,0.01007111
167.40034548,0.00808741
167.43367888,0.01251259
167.46701229,0.01266518
167.50034569,0.01022370
167.53367909,0.01541185
167.56701249,0.01541185
167.60034589,0.01236000
167.63367930,0.01739555
167.66701270,0.01831111
167.70034610,0.01586962
167.73367950,0.02121036
167.76701291,0.02075259
167.80034631,0.01907407
167.83367971,0.02365185
167.86701311,0.02273629
167.90034651,0.02059999
167.93367992,0.02700888
167.96701332,0.02685629
168.00034672,0.02471999
168.03368012,0.02975555
168.06701352,0.03051851
168.10034693,0.02868740
168.13368033,0.03219703
168.16701373,0.03402814
168.20034713,0.03280740
168.23368054,0.03784295
168.26701394,0.03769036
168.30034734,0.03692739
168.33368074,0.04181036
168.36701414,0.04074221
168.40034755,0.04013184
168.43368095,0.04531999
168.46701435,0.04593036
168.50034775,0.04364147
168.53368115,0.04989776
168.56701456,0.04959258
168.60034796,0.04867702
168.63368136,0.05493332
168.66701476,0.05386517
168.70034816,0.05340739
168.73368157,0.05920591
168.76701497,0.05890072
168.80034837,0.05767998
168.83368177,0.06424146
168.86701518,0.06302072
168.90034858,0.06241035
168.93368198,0.06851406
168.96701538,0.06805628
169.00034878,0.06790368
169.03368219,0.07370220
169.06701559,0.07339702
169.10034899,0.07263406
169.13368239,0.07827998
169.16701579,0.07873775
169.20034920,0.07736442
169.23368260,0.08316294
169.26701600,0.08362071
169.30034940,0.08224738
169.33368281,0.08865627
169.36701621,0.08880886
169.40034961,0.08774071
169.43368301,0.09399701
169.46701641,0.09384441
169.50034982,0.09369183
169.53368322,0.09964293
169.56701662,0.09903257
169.60035002,0.09811701
169.63368342,0.10528890
169.66701683,0.10544150
169.70035023,0.10513630
169.73368363,0.11185030
169.76701703,0.11093480
169.80035044,0.11001920
169.83368384,0.11795400
169.86701724,0.11673330
169.90035064,0.11627550
169.93368404,0.12466810
169.96701745,0.12268440
170.00035085,0.12253180
170.03368425,0.12985630
170.06701765,0.12924590
170.10035105,0.12955110
170.13368446,0.13657030
170.16701786,0.13473920
170.20035126,0.13534960
170.23368466,0.14130070
170.26701806,0.14099550
170.30035147,0.14191110
170.33368487,0.14801480
170.36701827,0.14740440
170.40035167,0.14923550
170.43368508,0.15594960
170.46701848,0.15366070
170.50035188,0.15671250
170.53368528,0.16159550
170.56701868,0.15976440
170.60035209,0.16205330
170.63368549,0.16754660
170.66701889,0.16571550
170.70035229,0.16937770
170.73368569,0.17532880
170.76701910,0.17242960
170.80035250,0.17578660
170.83368590,0.18143250
170.86701930,0.18066960
170.90035271,0.18402660
170.93368611,0.18860440
170.96701951,0.18677330
171.00035291,0.18982510
171.03368631,0.19562370
171.06701972,0.19333480
171.10035312,0.19745480
171.13368652,0.20187990
171.16701992,0.20111700
171.20035332,0.20493180
171.23368673,0.21057770
171.26702013,0.20828880
171.30035353,0.21317180
171.33368693,0.21637620
171.36702034,0.21439250
171.40035374,0.21774960
171.43368714,0.22309030
171.46702054,0.22110660
171.50035394,0.22537920
171.53368735,0.23087250
171.56702075,0.22827850
171.60035415,0.23270360
171.63368755,0.23865470
171.66702095,0.23499250
171.70035436,0.23926510
171.73368776,0.24521620
171.76702116,0.24185920
171.80035456,0.24491100
171.83368796,0.24964140
171.86702137,0.24689470
171.90035477,0.25147250
171.93368817,0.25818660
171.96702157,0.25574510
172.00035498,0.25986510
172.03368838,0.26566360
172.06702178,0.26184880
172.10035518,0.26566360
172.13368858,0.27024140
172.16702199,0.26612140
172.20035539,0.27268290
172.23368879,0.27726070
172.26702219,0.27329330
172.30035559,0.27970210
172.33368900,0.28412730
172.36702240,0.28107550
172.40035580,0.28626360
172.43368920,0.28870510
172.46702261,0.28504290
172.50035601,0.28992580
172.53368941,0.29297770
172.56702281,0.28931550
172.60035621,0.29526660
172.63368962,0.29892880
172.66702302,0.29618210
172.70035642,0.30121770
172.73368982,0.30625330
172.76702322,0.30243840
172.80035663,0.30716880
172.83369003,0.30991550
172.86702343,0.30625330
172.90035683,0.30976290
172.93369024,0.31373030
172.96702364,0.31006810
173.00035704,0.31540880
173.03369044,0.31830810
173.06702384,0.31617180
173.10035725,0.32166510
173.13369065,0.32441170
173.16702405,0.32120730
173.20035745,0.32486950
173.23369085,0.32563250
173.26702426,0.32288580
173.30035766,0.32822660
173.33369106,0.32898950
173.36702446,0.32624290
173.40035786,0.33219400
173.43369127,0.33219400
173.46702467,0.33234660
173.50035807,0.33646660
173.53369147,0.33692430
173.56702488,0.33341470
173.60035828,0.33875550
173.63369168,0.33738210
173.66702508,0.33509320
173.70035848,0.34058660
173.73369189,0.34058660
173.76702529,0.33783990
173.80035869,0.34272290
173.83369209,0.34379100
173.86702549,0.34134950
173.90035890,0.34638510
173.93369230,0.34623250
173.96702570,0.34226510
174.00035910,0.34669030
174.03369251,0.34562210
174.06702591,0.34104430
174.10035931,0.34607990
174.13369271,0.34562210
174.16702611,0.34455400
174.20035952,0.34958950
174.23369292,0.34867400
174.26702632,0.34592730
174.30035972,0.35065770
174.33369312,0.34836880
174.36702653,0.34516430
174.40035993,0.34943690
174.43369333,0.34821620
174.46702673,0.34348580
174.50036013,0.34867400
174.53369354,0.34806360
174.56702694,0.34577470
174.60036034,0.35142060
174.63369374,0.34852140
174.66702715,0.34669030
174.70036055,0.35157320
174.73369395,0.34791100
174.76702735,0.34546950
174.80036075,0.35065770
174.83369416,0.34730060
174.86702756,0.34348580
174.90036096,0.34897910
174.93369436,0.34623250
174.96702776,0.34485920
175.00036117,0.34867400
175.03369457,0.34745320
175.06702797,0.34470660
175.10036137,0.34928440
175.13369478,0.34577470
175.16702818,0.34134950
175.20036158,0.34638510
175.23369498,0.34226510
175.26702838,0.33951840
175.30036179,0.34272290
175.33369519,0.34104430
175.36702859,0.33875550
175.40036199,0.34073920
175.43369539,0.33875550
175.46702880,0.33753470
175.50036220,0.34134950
175.53369560,0.33692430
175.56702900,0.33371990
175.60036241,0.33707690
175.63369581,0.33310950
175.66702921,0.33051540
175.70036261,0.33509320
175.73369601,0.33005770
175.76702942,0.32731100
175.80036282,0.33249910
175.83369622,0.32944730
175.86702962,0.32807400
175.90036302,0.32898950
175.93369643,0.32456430
175.96702983,0.32166510
176.00036323,0.32486950
176.03369663,0.31891840
176.06703003,0.31922360
176.10036344,0.32044430
176.13369684,0.31586660
176.16703024,0.31418810
176.20036364,0.31708730
176.23369705,0.31235690
176.26703045,0.31006810
176.30036385,0.31434070
176.33369725,0.30701620
176.36703065,0.30686360
176.40036406,0.30838950
176.43369746,0.30228590
176.46703086,0.30152290
176.50036426,0.30381180
176.53369766,0.29755550
176.56703107,0.29557180
176.60036447,0.29892880
176.63369787,0.29236730
176.66703127,0.29160440
176.70036468,0.29313030
176.73369808,0.28672140
176.76703148,0.28595840
176.80036488,0.28656880
176.83369828,0.28138070
176.86703169,0.28092290
176.90036509,0.28168580
176.93369849,0.27558210
176.96703189,0.27329330
177.00036529,0.27542950
177.03369870,0.27024140
177.06703210,0.26993620
177.10036550,0.27008880
177.13369890,0.26413770
177.16703231,0.26245920
177.20036571,0.26490070
177.23369911,0.25681330
